Признак избранного обращения;ID;Признак Супер VIP пользователя;Режим скорости обработки;Название;Описание;Статус;Контактное лицо;Приоритет;SLM-индикатор;Нормативный срок;Создано;Пользователь;Автор;Причина остановки;Изменено;Теги
Да;SD-8607129;true;0-25;[СМБ] Закрытие бизнес-карт;Смена мобильного телефона клиента: не проходит проверка номера, запрос отклоняется.;Закрыто;Петрова Мария Алексеевна;Средний;Просрочено;2025-10-17;2025-10-17 04:27;Романова Анна Викторовна;Иванов Сергей Николаевич;;2025-10-17 09:28;"сертификат; USB токен; мобильное"
Нет;SD-8631927;false;25-50;USB токен АСУ НКИ;Не удается открыть вклад в мобильном приложении, возникает сообщение «операция недоступна».;Ожидает клиента;Сидоров Алексей Игоревич;Высокий;Норматив;2025-10-05;2025-10-05 04:24;Соколова Екатерина Александровна;Кузнецов Павел Андреевич;Ожидание информации от клиента;2025-10-05 21:24;"СДО; USB токен; мобильное; ККМ; вклад"
Нет;SD-8621639;false;75-100;[СМБ] Закрытие бизнес-карт;Клиент обратился по вопросу закрытия расчетного счета бизнес-карты. При закрытии выдает ошибку «по данному счету уже выполняется процедура закрытия».;В работе;Пономарева Екатерина Вячеславовна;Средний;Норматив;2025-10-19;2025-10-19 03:18;Кульбицкая Ирина Петровна;Соколова Екатерина Александровна;;2025-10-21 18:33;"ошибка; офис; ВТБ Про; сеть; вклад"
Нет;SD-8684881;true;0-25;Смена мобильного телефона;Смена мобильного телефона клиента: не проходит проверка номера, запрос отклоняется.;Ожидает клиента;Соколова Екатерина Александровна;Критичный;На контроле;2025-10-16;2025-10-16 02:14;Кузнецов Павел Андреевич;Соколова Екатерина Александровна;;2025-10-19 12:46;"печать; мобильное; наличные; СДО"
Нет;SD-8613799;false;50-75;Открытие вклада;Не проходит подписание документа в СДО, заявка зависает в статусе «Черновик».;Ожидает клиента;Соколова Екатерина Александровна;Высокий;На контроле;2025-10-12;2025-10-12 07:35;Кузнецов Павел Андреевич;Сидоров Алексей Игоревич;;2025-10-13 05:49;"ГОСТ; сеть; СДО; ошибка; наличные"
Нет;SD-8634127;true;25-50;ВТБ Про – восстановление доступа;Не проходит подписание документа в СДО, заявка зависает в статусе «Черновик».;Ожидает ИТ;Петрова Мария Алексеевна;Средний;Просрочено;2025-10-13;2025-10-13 15:35;Кузнецов Павел Андреевич;Орлова Ксения Дмитриевна;;2025-10-13 16:45;"печать; касса; ККМ; ВТБ Про; ошибка"
Нет;SD-8627782;false;25-50;Смена мобильного телефона;Смена мобильного телефона клиента: не проходит проверка номера, запрос отклоняется.;Открыто;Соколова Екатерина Александровна;Низкий;Норматив;2025-10-15;2025-10-15 04:14;Романова Анна Викторовна;Девятайкин Денис Александрович;;2025-10-16 20:04;"печать; касса; ККМ"
Нет;SD-8684350;false;50-75;[СМБ] Закрытие бизнес-карт;АСУ НКИ: ключевой носитель рутокен не определяется системой, требуется проверка параметров конфигурации.;В работе;Кузнецов Павел Андреевич;Низкий;На контроле;2025-10-02;2025-10-02 08:15;Сидоров Алексей Игоревич;Кульбицкая Ирина Петровна;;2025-10-03 01:59;"наличные; касса; ККМ"
Нет;SD-8611464;false;0-25;Открытие вклада;Не удается открыть вклад в мобильном приложении, возникает сообщение «операция недоступна».;В работе;Иванов Сергей Николаевич;Высокий;Просрочено;2025-10-21;2025-10-21 01:02;Сидоров Алексей Игоревич;Иванов Сергей Николаевич;;2025-10-25 01:42;"ГОСТ; касса; печать; сертификат"
Нет;SD-8662401;true;0-25;Открытие вклада;Смена мобильного телефона клиента: не проходит проверка номера, запрос отклоняется.;Ожидает ИТ;Кузнецов Павел Андреевич;Низкий;Просрочено;2025-10-09;2025-10-09 02:53;Орлова Ксения Дмитриевна;Соколова Екатерина Александровна;;2025-10-12 08:25;"печать; наличные; USB токен"
Нет;SD-8657154;true;0-25;[СМБ] Закрытие бизнес-карт;Заявка на выпуск карты: требуется корректировка ФИО, неверная транслитерация.;Открыто;Петрова Мария Алексеевна;Критичный;Норматив;2025-10-21;2025-10-21 05:34;Орлова Ксения Дмитриевна;Девятайкин Денис Александрович;Ожидание информации от клиента;2025-10-22 17:44;"сертификат; вклад; ГОСТ; USB токен; офис"
Нет;SD-8630346;false;75-100;Обновление сертификата ГОСТ;ВТБ Про: ошибка при сбросе пароля, код подтверждения не приходит клиенту.;Закрыто;Кульбицкая Ирина Петровна;Высокий;Просрочено;2025-10-08;2025-10-08 05:17;Кульбицкая Ирина Петровна;Сидоров Алексей Игоревич;Ожидание информации от клиента;2025-10-09 09:01;"наличные; ВТБ Про; СДО; касса; сертификат"
Нет;SD-8656106;true;25-50;ДКО – пакет услуг;Заявка на выпуск карты: требуется корректировка ФИО, неверная транслитерация.;Ожидает ИТ;Девятайкин Денис Александрович;Низкий;Просрочено;2025-10-06;2025-10-06 08:04;Романова Анна Викторовна;Петрова Мария Алексеевна;;2025-10-07 22:20;"СДО; вклад; печать; сертификат"
Нет;SD-8690316;false;50-75;Открытие вклада;Смена мобильного телефона клиента: не проходит проверка номера, запрос отклоняется.;Ожидает ИТ;Пономарева Екатерина Вячеславовна;Средний;Просрочено;2025-10-05;2025-10-05 10:46;Иванов Сергей Николаевич;Романова Анна Викторовна;;2025-10-07 22:14;"ошибка; печать; сертификат"
Нет;SD-8621092;true;0-25;ВТБ Про – восстановление доступа;Нет доступа к папке общего ресурса после смены доменного пароля.;В работе;Кульбицкая Ирина Петровна;Средний;Просрочено;2025-10-15;2025-10-15 23:12;Девятайкин Денис Александрович;Девятайкин Денис Александрович;;2025-10-18 17:34;"ГОСТ; ВТБ Про; сеть; ошибка; наличные"
Нет;SD-8627059;false;75-100;Смена мобильного телефона;Не удается открыть вклад в мобильном приложении, возникает сообщение «операция недоступна».;Ожидает ИТ;Пономарева Екатерина Вячеславовна;Высокий;Просрочено;2025-10-16;2025-10-16 19:39;Соколова Екатерина Александровна;Девятайкин Денис Александрович;;2025-10-17 08:56;"ВТБ Про; касса; печать; ошибка; сеть"
Нет;SD-8698186;false;0-25;Смена мобильного телефона;Не проходит подписание документа в СДО, заявка зависает в статусе «Черновик».;Ожидает ИТ;Сидоров Алексей Игоревич;Высокий;Просрочено;2025-10-18;2025-10-18 08:27;Кульбицкая Ирина Петровна;Сидоров Алексей Игоревич;;2025-10-21 10:04;"печать; сеть; СДО; офис"
Да;SD-8659663;false;50-75;[СМБ] Закрытие бизнес-карт;Смена мобильного телефона клиента: не проходит проверка номера, запрос отклоняется.;Открыто;Сидоров Алексей Игоревич;Критичный;Норматив;2025-10-07;2025-10-07 09:40;Соколова Екатерина Александровна;Иванов Сергей Николаевич;;2025-10-09 16:10;"печать; ККМ; ошибка"
Нет;SD-8675308;true;0-25;Обновление сертификата ГОСТ;Заявка на выпуск карты: требуется корректировка ФИО, неверная транслитерация.;Ожидает клиента;Кузнецов Павел Андреевич;Высокий;Просрочено;2025-10-13;2025-10-13 22:28;Орлова Ксения Дмитриевна;Пономарева Екатерина Вячеславовна;Ожидание информации от клиента;2025-10-15 18:34;"ВТБ Про; вклад; наличные"
Да;SD-8683567;true;75-100;[СМБ] Закрытие бизнес-карт;Проблема с печатью кассовых документов, драйвер ККМ просит обновление.;Открыто;Соколова Екатерина Александровна;Низкий;Просрочено;2025-10-19;2025-10-19 00:44;Сидоров Алексей Игоревич;Петрова Мария Алексеевна;;2025-10-22 07:06;"ошибка; ГОСТ; печать"
Нет;SD-8651375;false;0-25;Обновление сертификата ГОСТ;Не проходит подписание документа в СДО, заявка зависает в статусе «Черновик».;В работе;Орлова Ксения Дмитриевна;Средний;Норматив;2025-10-11;2025-10-11 01:17;Петрова Мария Алексеевна;Сидоров Алексей Игоревич;;2025-10-13 20:31;"ККМ; вклад; СДО; офис"
Да;SD-8630206;true;25-50;Открытие вклада;Сертификат ГОСТ истек, просим выпустить новый и обновить на рабочей станции.;Ожидает ИТ;Соколова Екатерина Александровна;Высокий;Просрочено;2025-10-20;2025-10-20 06:17;Пономарева Екатерина Вячеславовна;Иванов Сергей Николаевич;;2025-10-22 18:39;"ВТБ Про; USB токен; СДО; наличные"
Нет;SD-8639736;true;25-50;Смена мобильного телефона;Клиент обратился по вопросу закрытия расчетного счета бизнес-карты. При закрытии выдает ошибку «по данному счету уже выполняется процедура закрытия».;Закрыто;Петрова Мария Алексеевна;Низкий;На контроле;2025-10-17;2025-10-17 08:02;Соколова Екатерина Александровна;Пономарева Екатерина Вячеславовна;Ожидание информации от клиента;2025-10-19 06:11;"ГОСТ; сеть; USB токен; наличные; печать"
Нет;SD-8659239;true;25-50;Печать выписки;ВТБ Про: ошибка при сбросе пароля, код подтверждения не приходит клиенту.;Закрыто;Романова Анна Викторовна;Низкий;На контроле;2025-10-04;2025-10-04 19:08;Кузнецов Павел Андреевич;Иванов Сергей Николаевич;;2025-10-06 00:19;"ошибка; вклад; наличные; мобильное; печать"
Да;SD-8654924;true;0-25;ВТБ Про – восстановление доступа;ВТБ Про: ошибка при сбросе пароля, код подтверждения не приходит клиенту.;Ожидает ИТ;Орлова Ксения Дмитриевна;Средний;На контроле;2025-10-14;2025-10-14 19:20;Орлова Ксения Дмитриевна;Пономарева Екатерина Вячеславовна;;2025-10-15 10:36;"USB токен; печать; касса; офис; сертификат"
